data_code,2010,2011,2012,2013,2014,2015,2016,2017,2018
FRA,0,0,0,0,0,0,0,0,199
GDN,0,0,0,0,0,0,809,0,0
HAM,0,0,0,0,0,0,0,0,10
HAN,0,0,0,0,0,45,17,137,196
ICN,0,67,1716,4778,9035,20715,11138,20009,6540
JFK,0,0,0,242,864,6107,3092,8720,9304
JHB,0,0,0,0,4,0,243,221,495
JKT,0,0,0,0,0,0,0,0,16
KDL,0,0,0,0,0,0,6986,9413,17912
KHI,0,0,0,0,0,0,0,0,1
KRK,0,0,0,0,0,0,29,0,0
KTM,0,0,0,0,0,0,0,0,42
KUA,0,0,0,0,0,0,0,0,14
KUL,0,48,359,910,1996,11828,9986,10970,12501
LAX,0,0,0,0,0,29344,24309,33570,40418
LHR,0,0,0,0,0,0,0,1046,1499
MAD,0,0,0,0,0,0,0,0,46
MEL,0,0,0,0,0,0,0,25,1270
MKZ,0,0,0,0,0,0,908,494,0
MOW,0,0,0,0,0,0,21,5,0
MUC,0,0,0,0,0,0,10,0,2
NULL,0,0,0,0,0,0,0,128,17
ORD,0,0,0,0,0,0,4455,704,2469
OSA,0,0,121,1050,2179,1776,1239,1084,1299
PEN,0,0,0,0,0,36,361,242,593
PNH,0,0,0,0,0,0,0,0,8
PUS,0,0,0,0,3,22,41,67,96
RGN,0,0,0,0,0,0,0,8,23
ROM,0,0,0,0,0,0,0,190,249
SAB,0,0,0,0,0,0,0,0,7
SFO,0,0,0,163,5703,132,3178,2967,844
SGN,0,0,0,0,0,37,104,226,320
SIN,1,387,1072,2129,6284,3568,5371,13192,22086
SWK,0,0,0,0,0,0,0,0,5
SYD,0,0,0,0,0,0,0,0,746
TAE,0,0,0,0,0,29,51,68,82
TLL,0,0,0,0,0,633,0,0,0
TYO,0,0,260,366,462,656,808,904,864
ULN,0,0,0,0,8,25,19,44,85
WAW,0,0,0,0,0,0,0,0,40
YVR,0,0,0,0,0,0,0,33,52
YYZ,0,0,0,0,0,0,0,0,134
